,origin,age,color,sex,import_type,sire,dam,dam_sire,horse_id
86,AUS,Unknown,Bay,Gelding,PPG,Danzero,Supernal,Chief's Crown,P256
87,AUS,Unknown,Bay,Gelding,PP,Danewin,Casavana,Success Express,M405
88,FR,Unknown,Bay,Gelding,PP,Naaqoos,Nateja,Diesis,S192
89,AUS,Unknown,Bay,Gelding,ISG,Encosta de Lago,Pretty Proud,Mr Greeley,T328
90,NZ,Unknown,Bay,Gelding,PPG,Darci Brahma,Surreptitiously,Machiavellian,V099
91,IRE,Unknown,Bay,Gelding,PP,Kheleyf,Rada,Danehill,P153
92,NZ,Unknown,Brown,Gelding,PPG,O'Reilly,Pyjamas,Centaine,N166
93,IRE,Unknown,Bay,Gelding,PPG,Danehill Dancer,Magnolia Lane,Sadler's Wells,T105
94,AUS,Unknown,Bay,Gelding,PPG,Sepoy,Dance On Air,Perugino,A106
95,IRE,Unknown,Bay,Brown,PP,Holy Roman Emperor,Souffle,Zafonic,T110
96,NZ,Unknown,Chestnut,Gelding,PPG,Strategic Image,Lass Attack,Seven Figures,P138
97,IRE,Unknown,Brown,Gelding,PP,Chineur,Smart Starprincess,Soviet Star,S046
98,IRE,Unknown,Brown,Gelding,PP,Holy Roman Emperor,Humble And Proud,Pivotal,T147
99,AUS,Unknown,Brown,Gelding,PPG,Lucky Sabre,Bermuda Triangle,Euclase,P449
100,NZ,Unknown,Bay,Gelding,PPG,Faltaat,Comic Song,Sadler's Wells,M335
101,AUS,Unknown,Bay,Gelding,PP,Not A Single Doubt,Apocrypha,Octagonal,T375
102,AUS,Unknown,Grey,Gelding,PPG,Dane Shadow,Vexed,Ferocity,V085
103,AUS,Unknown,Bay,Gelding,PP,Lion Heart,Dame de Paree,Danzero,P302
104,NZ,Unknown,Bay,Gelding,PPG,Darci Brahma,Lady Classique,Stravinsky,P431
105,AUS,Unknown,Chestnut,Gelding,PPG,Exceed And Excel,Investment Grade,High Yield,S287
106,NZ,Unknown,Chestnut,Gelding,PP,Thewayyouare,Alleyrun,Volksraad,V269
107,AUS,Unknown,Bay,Gelding,PP,Snitzel,At Ease,Canny Lad,A171
108,NZ,Unknown,Bay,Gelding,PPG,Keeper,Savannah Swift,Centaine,N061
109,NZ,Unknown,Bay,Gelding,PPG,Guillotine,Alleyrun,Volksraad,T138
110,AUS,Unknown,Bay,Gelding,PP,Zabeel,Danehill Princess,Danehill,A141
111,NZ,Unknown,Bay,Gelding,PPG,One Cool Cat,Heart Set,St Covet,N069
112,GB,Unknown,Bay,Gelding,ISG,Excellent Art,Cheap Thrills,Bertolini,V323
113,NZ,Unknown,Brown,Gelding,PP,Scaredee Cat,Demerara,Danasinga,P070
114,AUS,Unknown,Chestnut,Gelding,PPG,Zeditave,Beam,Scenic,N208
115,NZ,Unknown,Bay,Gelding,PP,Postponed,Coimbra,Mossman,V093
116,AUS,Unknown,Bay,Gelding,PPG,Choisir,Absolute Dream,Canny Lad,V283
117,GB,Unknown,Bay,Gelding,PP,Bertolini,Cavernista,Lion Cavern,N381
118,USA,Unknown,Chestnut,Gelding,PP,Coast Guard,Marquet Formula,Marquetry,V423
119,AUS,Unknown,Bay,Gelding,PPG,Encosta de Lago,Velasco,Flying Spur,S062
120,AUS,Unknown,Brown,Gelding,PP,Shinzig,Mota,At Talaq,T002
121,AUS,Unknown,Bay,Gelding,PP,Haradasun,Jersey City,Encosta de Lago,T160
122,ITY,Unknown,Bay,Gelding,PP,King Charlemagne,Marie Camargo,Kyllachy,T414
123,AUS,Unknown,Brown,Gelding,PPG,Henny Hughes,Crystal Moon,Danewin,P111
124,USA,Unknown,Grey,Gelding,PP,Mizzen Mast,Palisade,Gone West,T148
125,NZ,Unknown,Bay,Gelding,PP,No Excuse Needed,Bible Class,Volksraad,P331
126,NZ,Unknown,Bay,Gelding,PPG,Iffraaj,Skimmio,O'Reilly,V398
127,AUS,6,Bay,Gelding,PPG,Star Witness,Pearl Of The Sea,Fastnet Rock,V367
128,NZ,Unknown,Bay,Gelding,PP,Coats Choice,Yeogor Lass,Sir Chromar,N407
129,AUS,Unknown,Bay,Gelding,PPG,Fusaichi Pegasus,Dream Leica,Maroof,K123
130,AUS,Unknown,Bay,Gelding,PP,Musket,Duchess Talaria,Marwina,T001
131,AUS,6,Bay,Gelding,PP,Medaglia d'Oro,Pouter,Dubawi,A202
132,AUS,Unknown,Chestnut,Gelding,PPG,Dubawi,Mlada,Danasinga,S445
133,NZ,Unknown,Bay,Gelding,PP,Pins,Porotene Express,Danasinga,P387
134,NZ,Unknown,Bay,Gelding,VIS,Elusive City,Ellington,Express Duke,T601
135,IRE,Unknown,Bay,Gelding,PPG,Exceed And Excel,Blue Parade,Singspiel,P041
136,AUS,Unknown,Bay,Gelding,PP,Time Thief,Gypsy Mai,Our Maizcay,T403
137,IRE,Unknown,Chestnut,Gelding,PP,Dandy Man,Piece Unique,Barathea,A248
138,AUS,Unknown,Chestnut,Gelding,PP,Written Tycoon,Dellwood Diva,General Nediym,V302
139,AUS,6,Bay,Gelding,PP,Charge Forward,Cortina Gal,Flying Spur,A293
140,NZ,Unknown,Chestnut,Gelding,PPG,Mr Nancho,Kathleen Grace,Garcia,P434
141,AUS,Unknown,Bay,Gelding,PP,Break The Vault,Fonteyn Star,Langfuhr,P374
142,NZ,Unknown,Brown,Gelding,PPG,Le Bec Fin,Magic Eclipse,Trubisc,M193
143,IRE,9,Bay,Gelding,PP,Duke Of Marmalade,Starship,Galileo,T098
144,AUS,Unknown,Bay,Gelding,PPG,Fastnet Rock,Boisterous Lady,Rivotious,S240
145,NZ,Unknown,Bay,Gelding,PPG,Handsome Ransom,Nakke,Defensive Play,N055
146,AUS,Unknown,Chestnut,Gelding,PPG,Written Tycoon,Sun 'N' Soda,Desert Sun,A018
147,NZ,Unknown,Bay,Gelding,PPG,Castledale,Gulfstream,Yachtie,A045
148,AUS,Unknown,Bay,Gelding,PP,Danehill Dancer,Mystifying,Last Tycoon,M366
149,AUS,Unknown,Bay,Gelding,PPG,Hinchinbrook,Kianben,Jan Murray,A008
150,NZ,Unknown,Bay,Gelding,PPG,Stravinsky,Kruger Valley,Kaapstad,S270
151,JPN,Unknown,Dark Bay,Gelding,PPG,Heart's Cry,Crime,Gulch,A019
152,AUS,Unknown,Bay,Gelding,PPG,Fastnet Rock,Paint By Numbers,Peintre Celebre,V228
153,AUS,8,Bay,Gelding,PP,Holy Roman Emperor,Rule The Waves,King's Best,A092
154,AUS,Unknown,Bay,Gelding,PP,Fastnet Rock,Hummingbird,Galileo,V278
155,GB,Unknown,Bay,Gelding,PP,Exceed And Excel,Aymara,Darshaan,M228
156,AUS,6,Bay,Gelding,PP,Dash For Cash,Letter From France,Exceed And Excel,A168
157,GB,Unknown,Bay,Gelding,VIS,Kyllachy,Demerger,Distant View,N604
158,NZ,6,Bay,Gelding,PPG,Red Giant,Show Exhibit,Danehill,A086
159,NZ,Unknown,Bay,Gelding,PPG,Dylan Thomas,Mon Beau Cheval,Montjeu,V025
160,NZ,Unknown,Bay,Gelding,PPG,Patapan,Golan's Gift,Golan,P405
161,NZ,Unknown,Bay,Gelding,PPG,Thorn Park,High Tune,High Chaparral,V044
162,AUS,Unknown,Bay,Brown,PPG,Tycoon Ruler,Akordat,Danasinga,A034
163,IRE,Unknown,Bay,Gelding,PP,Lilbourne Lad,Nisriyna,Intikhab,V246
164,FR,Unknown,Bay,Gelding,PPG,Dutch Art,Bye Bold Aileen,Warning,T231
165,IRE,Unknown,Bay,Gelding,PP,Daggers Drawn,Lear's Crown,Lear Fan,J061
166,JPN,Unknown,Bay,Gelding,PPG,Smart Emblem,Makiba Beijin,Peking Ryuen,S006
167,AUS,Unknown,Bay,Gelding,PPG,Street Cry,On Southbank,Festival Hall,M021
168,AUS,Unknown,Bay,Gelding,PPG,Wanted,Emma Princess,Invincible Spirit,A107
169,JPN,Unknown,Bay,Horse,VIS,Screen Hero,Mejiro Frances,Carnegie,V605
170,NZ,Unknown,Chestnut,Gelding,PPG,Faltaat,La Bella Rouge,Green Perfume,P163
171,AUS,Unknown,Bay,Gelding,PPG,Bernardini,Reviewed,Double Century,S283
172,NZ,Unknown,Bay,Gelding,PPG,Falkirk,Tycoon Babe,Last Tycoon,P404
173,NZ,Unknown,Bay,Gelding,PPG,Tavistock,Diversa,Danehill,V164
174,IRE,Unknown,Bay,Gelding,PP,Oasis Dream,Rose Melody,Galileo,P117
175,NZ,Unknown,Bay,Gelding,PP,Falkirk,Luscious Lass,Al Akbar,T227
176,IRE,Unknown,Bay,Horse,VIS,High Chaparral,Polished Gem,Danehill,V611
177,IRE,Unknown,Chestnut,Horse,VIS,Dubawi,Doors To Manual,Royal Academy,V636
178,AUS,Unknown,Bay,Gelding,PPG,Jet Spur,Be Faithful,Last Tycoon,P054
179,IRE,Unknown,Chestnut,Gelding,PP,Intense Focus,Kayak,Singspiel,T364
180,AUS,Unknown,Brown,Gelding,PP,Foreplay,Homegrown,Snippets,P248
181,NZ,Unknown,Bay,Gelding,PP,Ekraar,Pheroz Flight,Straight Strike,S357
182,AUS,Unknown,Bay,Gelding,PPG,Fastnet Rock,Plastic Lady,Centaine,S023
183,AUS,Unknown,Bay,Gelding,PPG,Bernardini,Sojustrememberthis,Flying Spur,P213
184,IRE,Unknown,Grey,Gelding,PP,Aussie Rules,Secrete Marina,Mujadil,N119
185,AUS,Unknown,Brown,Gelding,PP,Hussonet,San Century,Centaine,M353
186,IRE,7,Bay,Gelding,PP,Arcano,Sassy Gal,King's Best,V407
187,NZ,6,Grey,Gelding,PP,Iffraaj,Miranda Miss,Reset,A183
188,AUS,Unknown,Bay,Brown,PPG,Beneteau,Isadora,Gold Fever,V059
189,IRE,Unknown,Bay,Gelding,SG,Marju,Supportive,Nashamaa,L342
190,AUS,Unknown,Bay,Gelding,PP,Duporth,Fortune Princess,Danehill,A136
191,NZ,Unknown,Brown,Gelding,PP,Duporth,Flying Babe,Flying Spur,T202
192,GB,Unknown,Chestnut,Gelding,PPG,Cadeaux Genereux,Meredith,Medicean,P354
193,AUS,Unknown,Bay,Gelding,PPG,Tale Of The Cat,Macavelli Miss,Vettori,N300
194,AUS,Unknown,Chestnut,Gelding,PP,Canny Lad,Oh Best Beloved,Elusive Quality,T296
195,NZ,Unknown,Bay,Gelding,PPG,Coats Choice,Drizzle,Ski Captain,A122
196,NZ,Unknown,Bay,Gelding,PPG,Teofilo,Speedos,Redoute's Choice,V295
197,NZ,Unknown,Bay,Gelding,PP,Fully Fledged,I'llthinkaboutit,Howbaddouwantit,T431
198,NZ,Unknown,Bay,Gelding,PPG,Savabeel,Mamma Rose,Thorn Park,T263
199,IRE,Unknown,Bay,Horse,VIS,Fastnet Rock,Pride,Peintre Celebre,A617
200,NZ,Unknown,Bay,Gelding,PPG,O'Reilly,Ever Clever,Centaine,T037
201,IRE,Unknown,Bay,Gelding,PPG,Dylan Thomas,Princess Ellen,Tirol,T223
202,IRE,Unknown,Chestnut,Gelding,VIS,North Light,Time Is Money,Gilded Time,V629
203,NZ,Unknown,Bay,Gelding,PPG,Perfectly Ready,Regal Ash,Green Desert,P167
204,NZ,Unknown,Bay,Gelding,PPG,No Excuse Needed,Forewarned,Volksraad,S091
205,AUS,Unknown,Bay,Gelding,PP,Bel Esprit,Gypsy Marauder,Marauding,P100
206,NZ,Unknown,Bay,Gelding,PPG,Castledale,Gulfstream,Yachtie,S013
207,GB,Unknown,Bay,Gelding,PP,Paco Boy,Tereshkina,Sadler's Wells,A239
208,AUS,Unknown,Bay,Gelding,PP,Jet Spur,Gold Lottey,Encosta de Lago,V217
209,GB,Unknown,Bay,Gelding,ISG,Green Desert,Spritzeria,Bigstone,N331
210,USA,Unknown,Bay,Horse,VIS,Lemon Drop Kid,Lynnwood Chase,Horse Chestnut,V619
211,GB,Unknown,Bay,Gelding,PP,Hawk Wing,Savignano,Polish Precedent,K212
212,IRE,Unknown,Bay,Gelding,PPG,Acclamation,Vintage Escape,Cyrano de Bergerac,S374
213,NZ,Unknown,Bay,Gelding,PPG,Darci Brahma,Casual Chick,Casual Lies,A046
214,AUS,Unknown,Bay,Gelding,PPG,Testa Rossa,Brackloon,Woodman,P450
215,AUS,Unknown,Chestnut,Gelding,PPG,Happy Giggle,All That Glitters,Heroicity,P347
216,NZ,7,Bay,Gelding,PP,Sufficient,Albacora,Lord Ballina,A098
217,AUS,Unknown,Bay,Gelding,PP,Duporth,Snaps,Flying Spur,V412
218,FR,Unknown,Bay,Horse,PP,Polan,High Zaff,High Chaparral,V167
219,GB,Unknown,Chestnut,Gelding,ISG,Compton Place,Heliograph,Ishiguru,V313
220,NZ,Unknown,Bay,Gelding,PPG,Pentire,Ladies Choice,Bahhare,T040
221,NZ,9,Brown,Gelding,PP,Patapan,Victoria Bay,Kingdom Bay,T076
222,IRE,Unknown,Bay,Gelding,PP,Elusive City,Atlantic Slew,Helissio,T285
223,AUS,Unknown,Bay,Gelding,PPG,Stratum,Belle Famille,Linamix,T086
224,AUS,Unknown,Bay,Gelding,PP,High Chaparral,Satin Robes,Ne Coupez Pas,V132
225,NZ,Unknown,Chestnut,Gelding,PP,Perfectly Ready,Rattle,Stravinsky,T389
226,IRE,Unknown,Bay,Gelding,VIS,Dubai Destination,Pastorale,Nureyev,T603
227,AUS,Unknown,Bay,Gelding,PPG,Not A Single Doubt,Evening Pleasures,Dehere,V011
228,AUS,Unknown,Bay,Gelding,PPG,Teofilo,Ave Amina,King's Best,V106
229,AUS,Unknown,Bay,Gelding,PPG,Not A Single Doubt,Full Bloom,Snippets,V144
230,AUS,Unknown,Bay,Gelding,PPG,Starcraft,Freestyle,Snippets,V092
231,AUS,Unknown,Brown,Gelding,PPG,Beneteau,Forest City Girl,Deputy Minister,V209
232,NZ,6,Bay,Gelding,PPG,Stravinsky,Inzabeel,Zabeel,V401
233,IRE,Unknown,Bay,Gelding,PP,Intense Focus,Tranquil Sky,Intikhab,V404
234,AUS,Unknown,Brown,Gelding,PPG,Seidnazar,Normandy Coast,Brave Salute,N288
235,FR,7,Bay,Gelding,PP,Myboycharlie,Tehamana,Pleasantly Perfect,V368
236,AUS,Unknown,Brown,Gelding,PPG,Commands,Kennilworth,Viscount,A076
237,NZ,Unknown,Bay,Gelding,PP,Thorn Park,Monte Karlo,Montjeu,T401
238,AUS,Unknown,Bay,Gelding,PPG,Nadeem,Fine Return,High Yield,N250
239,NZ,Unknown,Bay,Gelding,PPG,Red Giant,Make Me Strong,Danehill,V229
240,NZ,6,Bay,Gelding,PPG,Savabeel,Kim Possible,Volksraad,A152
241,IRE,Unknown,Bay,Gelding,PP,Fastnet Rock,Starship,Galileo,A113
242,NZ,Unknown,Bay,Gelding,PPG,Ishiguru,South Pacific,Stark South,K318
243,AUS,Unknown,Chestnut,Gelding,PPG,Starcraft,Catalina Winemixer,Stratum,V422
244,GER,Unknown,Bay,Gelding,PP,Caradak,Dyanamore,Mt Livermore,A233
245,NZ,Unknown,Chestnut,Gelding,PP,Perfectly Ready,Penny Arcade,Straussbrook,S125
246,IRE,Unknown,Bay,Gelding,PP,Art Connoisseur,A L'Aube,Selkirk,S216
247,FR,Unknown,Grey,Gelding,PP,Kahyasi,Mikalia,Kaldoun,N446
248,AUS,8,Brown,Gelding,PP,Domesday,Tintoretto,Commands,T349
249,NZ,Unknown,Grey,Gelding,PP,Any Suggestion,Cross Examine,Cape Cross,V014
250,NZ,Unknown,Bay,Gelding,PPG,Spartacus,Spanish Melody,O'Reilly,N076
251,NZ,Unknown,Chestnut,Gelding,PP,Iffraaj,Swan Lake,Green Perfume,V226
252,USA,Unknown,Brown,Gelding,PPG,Bernardini,Caught In The Rain,Petionville,N257
253,NZ,Unknown,Bay,Gelding,PP,Guillotine,Brilliant Kiwi,Brilliance,S099
254,NZ,Unknown,Bay,Gelding,PPG,Stratum,Posing Zero,Danzero,S041
255,AUS,5,Bay,Gelding,PPG,Not A Single Doubt,Evoked,Song Of Tara,A207
256,JPN,Unknown,Chestnut,Mare,VIS,Orewa Matteruze,Shanghai Jell,Shanghai,T602
257,NZ,Unknown,Bay,Gelding,PPG,O'Reilly,One Love,Danasinga,A085
258,AUS,Unknown,Bay,Gelding,PPG,Snippetson,Exselva,Exceed And Excel,A013
259,NZ,Unknown,Bay,Gelding,PPG,Keeper,Alicia Markova,Entrepreneur,M191
260,GB,Unknown,Chestnut,Gelding,PPG,Raven's Pass,Salsa Steps,Giant's Causeway,T155
261,AUS,Unknown,Chestnut,Gelding,PPG,General Nediym,Leyenda,Hurricane Sky,M111
262,AUS,Unknown,Bay,Gelding,PPG,Flying Spur,Sunday Lady,Zabeel,T280
263,AUS,Unknown,Bay,Gelding,PPG,Anabaa,Apamea,Zafonic,N237
264,AUS,Unknown,Bay,Gelding,PPG,Charge Forward,Joy Ride,Redoute's Choice,T357
265,AUS,Unknown,Chestnut,Gelding,PP,Gonski,Sharna Cabarna,Dolphin Street,N233
266,AUS,Unknown,Bay,Gelding,PPG,Medal Of Honor,Miss Whirl,Pricelessly,N033
267,AUS,Unknown,Bay,Gelding,PPG,Hard Spun,Sunflower Street,Fantastic Light,P080
268,AUS,Unknown,Bay,Gelding,PPG,Lope de Vega,Dancescape,Danehill Dancer,V088
269,GB,Unknown,Chestnut,Gelding,PP,Pastoral Pursuits,Charlotte Vale,Pivotal,V233
270,AUS,Unknown,Bay,Gelding,ISG,Fastnet Rock,Gina Lollawitcha,Perugino,M331
271,GB,Unknown,Brown,Gelding,PP,Pastoral Pursuits,Fizzy Treat,Efisio,M361
272,IRE,Unknown,Bay,Gelding,PP,Oratorio,Pinky Mouse,Machiavellian,P273
273,AUS,Unknown,Chestnut,Gelding,PP,Shaft,Play Loud,Canny Lad,S352
274,NZ,Unknown,Bay,Gelding,PPG,O'Reilly,Mistrale,Volksraad,T039
275,NZ,Unknown,Bay,Gelding,PPG,Sandtrap,Allaboutme,Al Akbar,S185
276,USA,Unknown,Bay,Brown,PP,Vindication,South Bay Cove,Fusaichi Pegasus,M163
277,AUS,Unknown,Bay,Gelding,PP,Red Arrow,Song Dynasty,Unbridled's Song,A169
278,AUS,Unknown,Bay,Gelding,PPG,Court Of Jewels,Gold And Red,Snippets,P446
279,NZ,Unknown,Bay,Gelding,PPG,No Excuse Needed,Tunes Of Glory,Maroof,S302
280,NZ,Unknown,Brown,Mare,PP,Black Minnaloushe,Altaat,Faltaat,N156
281,NZ,Unknown,Bay,Gelding,PPG,Cecconi,Volique,Volksraad,A150
282,AUS,Unknown,Brown,Gelding,PP,Danehill Dancer,Fuji Fantasy,Fuji Kiseki,T158
283,AUS,Unknown,Chestnut,Gelding,PPG,Monashee Mountain,Acute Aquila,Eagle Eyed,P148
284,AUS,6,Chestnut,Gelding,PP,Street Boss,Vogue Beauty,Arena,A140
285,NZ,Unknown,Bay,Gelding,PP,Bachelor Duke,Miss Is Brash,Deputy Governor,S378
286,NZ,Unknown,Bay,Gelding,PP,Shinko King,Tiara Sands,Sandtrap,P071
287,AUS,Unknown,Bay,Gelding,ISG,Fastnet Rock,Distinctly,Sadler's Wells,S345
288,AUS,Unknown,Black,Gelding,PPG,Lonhro,Speedy Natalie,Al Maher,V087
289,NZ,Unknown,Bay,Gelding,ISG,Keeper,Sara Ann,Stravinsky,P361
290,AUS,Unknown,Chestnut,Gelding,PPG,Encosta de Lago,Lake Alexandrina,Bluebird,L428
291,NZ,Unknown,Bay,Gelding,PPG,Savabeel,Under Siege,Royal Academy,V104
292,NZ,Unknown,Bay,Gelding,PP,Perfectly Ready,Sitting On A Hill,City On A Hill,S264
293,GB,7,Chestnut,Gelding,PPG,Champs Elysees,Red Boots,Verglas,A005
294,AUS,Unknown,Bay,Gelding,PPG,Dreamscape,Elmira,Timber Country,T276
